STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED,DEATHS FROM OLD AGE
1,14945,14918,3709,11209,27,6,21,0,0,0,0
2,14945,14907,3709,11198,38,6,32,0,0,0,0
3,14945,14885,3708,11177,60,7,53,0,0,0,0
4,14944,14860,3708,11152,84,7,77,1,0,1,0
5,14944,14832,3708,11124,112,7,105,1,0,1,0
6,14942,14808,3708,11100,134,6,128,3,1,2,0
7,14942,14773,3707,11066,169,7,162,3,1,2,0
8,14939,14750,3706,11044,189,7,182,6,2,4,0
9,14935,14720,3706,11014,215,7,208,10,2,8,0
10,14928,14683,3704,10979,245,8,237,17,3,14,0
11,14918,14636,3702,10934,282,9,273,27,4,23,0
12,14907,14594,3699,10895,313,11,302,38,5,33,0
13,14900,14551,3696,10855,349,14,335,45,5,40,0
14,14891,14509,3690,10819,382,20,362,54,5,49,0
15,14876,14461,3684,10777,415,26,389,69,5,64,0
16,14862,14411,3679,10732,451,30,421,83,6,77,0
17,14849,14345,3674,10671,504,34,470,96,7,89,0
18,14828,14307,3671,10636,521,36,485,117,8,109,0
19,14807,14253,3667,10586,554,40,514,138,8,130,0
20,14788,14207,3663,10544,581,43,538,157,9,148,0
21,14769,14163,3654,10509,606,49,557,176,12,164,0
22,14747,14119,3648,10471,628,54,574,198,13,185,0
23,14726,14064,3640,10424,662,62,600,219,13,206,0
24,14699,14012,3630,10382,687,71,616,246,14,232,0
25,14668,13973,3624,10349,695,75,620,277,16,261,0
26,14634,13930,3617,10313,704,81,623,311,17,294,0
27,14609,13876,3612,10264,733,84,649,336,19,317,0
28,14573,13824,3607,10217,749,85,664,372,23,349,0
29,14536,13774,3601,10173,762,88,674,409,26,383,0
30,14505,13725,3594,10131,780,92,688,440,29,411,0
31,14468,13678,3591,10087,790,94,696,477,30,447,0
32,14432,13631,3580,10051,801,99,702,513,36,477,0
33,14393,13565,3572,9993,828,101,727,552,42,510,0
34,14354,13526,3566,9960,828,100,728,591,49,542,0
35,14315,13458,3563,9895,857,96,761,630,56,574,0
36,14277,13416,3556,9860,861,102,759,668,57,611,0
37,14242,13347,3548,9799,895,103,792,703,64,639,0
38,14204,13310,3549,9761,894,97,797,741,69,672,0
39,14174,13263,3545,9718,911,96,815,771,74,697,0
40,14134,13219,3539,9680,915,96,819,811,80,731,0
41,14100,13172,3531,9641,928,102,826,845,82,763,0
42,14063,13109,3528,9581,954,97,857,882,90,792,0
43,14027,13047,3516,9531,980,103,877,918,96,822,0
44,13986,12991,3510,9481,995,106,889,959,99,860,0
45,13941,12949,3505,9444,992,107,885,1004,103,901,0
46,13897,12878,3495,9383,1019,113,906,1048,107,941,0
47,13848,12834,3487,9347,1014,112,902,1097,116,981,0
48,13802,12791,3484,9307,1011,111,900,1143,120,1023,0
49,13754,12729,3476,9253,1025,112,913,1191,127,1064,0
50,13709,12680,3471,9209,1029,115,914,1236,129,1107,0
51,13664,12626,3466,9160,1038,114,924,1281,135,1146,0
52,13619,12588,3459,9129,1031,115,916,1326,141,1185,0
53,13576,12550,3453,9097,1026,118,908,1369,144,1225,0
54,13527,12509,3441,9068,1018,128,890,1418,146,1272,0
55,13477,12471,3436,9035,1006,130,876,1468,149,1319,0
56,13428,12438,3429,9009,990,134,856,1517,152,1365,0
57,13384,12371,3422,8949,1013,135,878,1561,158,1403,0
58,13335,12318,3417,8901,1017,133,884,1610,165,1445,0
59,13278,12271,3410,8861,1007,135,872,1667,170,1497,0
60,13235,12201,3397,8804,1034,144,890,1710,174,1536,0
61,13194,12151,3392,8759,1043,143,900,1751,180,1571,0
62,13145,12098,3379,8719,1047,150,897,1800,186,1614,0
63,13104,12033,3374,8659,1071,150,921,1841,191,1650,0
64,13047,11991,3373,8618,1056,139,917,1898,203,1695,0
65,12997,11935,3364,8571,1062,145,917,1948,206,1742,0
66,12946,11886,3360,8526,1060,143,917,1999,212,1787,0
67,12902,11832,3354,8478,1070,146,924,2043,215,1828,0
68,12854,11765,3350,8415,1089,141,948,2091,224,1867,0
69,12799,11721,3344,8377,1078,140,938,2146,231,1915,0
70,12751,11665,3333,8332,1086,141,945,2194,241,1953,0
71,12692,11588,3325,8263,1104,143,961,2253,247,2006,0
72,12642,11537,3322,8215,1105,140,965,2303,253,2050,0
73,12592,11497,3318,8179,1095,140,955,2353,257,2096,0
74,12539,11433,3314,8119,1106,134,972,2406,267,2139,0
75,12490,11369,3302,8067,1121,142,979,2455,271,2184,0
76,12441,11295,3290,8005,1146,144,1002,2504,281,2223,0
77,12391,11237,3286,7951,1154,143,1011,2554,286,2268,0
