STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED,DEATHS FROM OLD AGE
1,14992,14983,7569,7414,9,5,4,0,0,0,0
2,14992,14978,7569,7409,14,5,9,0,0,0,0
3,14992,14975,7569,7406,17,5,12,0,0,0,0
4,14991,14974,7569,7405,17,4,13,1,1,0,0
5,14990,14968,7568,7400,22,4,18,2,2,0,0
6,14990,14965,7568,7397,25,4,21,2,2,0,0
7,14990,14964,7567,7397,26,5,21,2,2,0,0
8,14989,14958,7568,7390,31,3,28,3,3,0,0
9,14989,14950,7568,7382,39,3,36,3,3,0,0
10,14989,14948,7568,7380,41,3,38,3,3,0,0
11,14989,14941,7568,7373,48,3,45,3,3,0,0
12,14988,14939,7567,7372,49,4,45,4,3,1,0
13,14986,14937,7567,7370,49,4,45,6,3,3,0
14,14985,14936,7566,7370,49,5,44,7,3,4,0
15,14982,14936,7566,7370,46,4,42,10,4,6,0
16,14979,14935,7565,7370,44,5,39,13,4,9,0
17,14975,14931,7564,7367,44,5,39,17,5,12,0
18,14974,14924,7562,7362,50,7,43,18,5,13,0
19,14971,14921,7561,7360,50,7,43,21,6,15,0
20,14966,14917,7560,7357,49,8,41,26,6,20,0
21,14962,14910,7558,7352,52,10,42,30,6,24,0
22,14958,14907,7558,7349,51,10,41,34,6,28,0
23,14953,14901,7557,7344,52,10,42,39,7,32,0
24,14952,14896,7554,7342,56,13,43,40,7,33,0
25,14951,14896,7555,7341,55,12,43,41,7,34,0
26,14947,14889,7553,7336,58,14,44,45,7,38,0
27,14941,14887,7553,7334,54,13,41,51,8,43,0
28,14938,14882,7551,7331,56,15,41,54,8,46,0
29,14935,14880,7550,7330,55,16,39,57,8,49,0
30,14927,14877,7550,7327,50,14,36,65,10,55,0
31,14927,14875,7547,7328,52,17,35,65,10,55,0
32,14923,14873,7546,7327,50,16,34,69,12,57,0
33,14922,14872,7547,7325,50,15,35,70,12,58,0
34,14919,14871,7546,7325,48,15,33,73,13,60,0
35,14912,14870,7546,7324,42,14,28,80,14,66,0
36,14911,14869,7545,7324,42,15,27,81,14,67,0
37,14905,14869,7544,7325,36,13,23,87,17,70,0
38,14903,14867,7543,7324,36,13,23,89,18,71,0
39,14900,14866,7543,7323,34,11,23,92,20,72,0
40,14896,14864,7543,7321,32,9,23,96,22,74,0
41,14890,14863,7543,7320,27,7,20,102,24,78,0
42,14887,14861,7541,7320,26,9,17,105,24,81,0
43,14886,14859,7540,7319,27,9,18,106,25,81,0
44,14883,14860,7542,7318,23,6,17,109,26,83,0
45,14880,14858,7541,7317,22,7,15,112,26,86,0
46,14880,14856,7541,7315,24,7,17,112,26,86,0
47,14878,14855,7541,7314,23,7,16,114,26,88,0
48,14876,14852,7540,7312,24,7,17,116,27,89,0
49,14874,14850,7540,7310,24,7,17,118,27,91,0
50,14873,14849,7539,7310,24,8,16,119,27,92,0
51,14872,14849,7538,7311,23,9,14,120,27,93,0
52,14869,14847,7537,7310,22,9,13,123,28,95,0
53,14868,14847,7537,7310,21,9,12,124,28,96,0
54,14867,14845,7536,7309,22,9,13,125,29,96,0
